archetype,branch,node_order,unlock_level_project_v1,required_branch_points_project_v1,skill_point_cost_project_v1,ability_id,primary_prereq_ability_id,additional_prereq_ability_ids,is_branch_root,is_capstone,raw_training_cost,purchase_status,evidence,project_status
Soldier,Heavy Weapons,1,1,0,1,612,,,True,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,2,5,2,1,632,612,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,3,5,2,1,851,612,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,4,10,4,1,658,632,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,5,10,4,1,819,851,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,6,15,6,1,656,632,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,7,15,6,1,2419,612,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,8,15,6,1,1883,612,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,9,20,8,1,808,658,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,10,20,8,1,2103,2419,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,11,20,8,1,1483,2419,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,12,25,10,1,818,656,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,13,25,10,1,1882,2103,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,14,25,10,1,2102,1883,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,15,30,12,1,853,808,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,16,30,12,1,724,2103,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,17,30,12,1,1885,1882,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,18,35,14,1,852,724,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,19,35,14,1,1889,2102,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,20,35,14,1,2143,853,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,21,40,16,1,1485,852,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,22,40,16,1,2105,1885,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,23,40,16,1,1487,818,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,24,45,18,1,1456,2143,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Heavy Weapons,25,50,20,1,1486,1487,1456,False,True,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,1,1,0,1,1642,,,True,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,2,5,2,1,637,1642,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,3,5,2,1,1454,1642,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,4,5,2,1,523,1642,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,5,10,4,1,1452,1454,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,6,10,4,1,858,1642,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,7,10,4,1,1455,523,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,8,15,6,1,1619,637,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,9,15,6,1,1453,858,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,10,15,6,1,868,1455,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,11,20,8,1,1450,637,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,12,20,8,1,869,1453,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,13,20,8,1,861,868,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,14,25,10,1,1891,869,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,15,25,10,1,1457,1452,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,16,25,10,1,854,861,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,17,30,12,1,1479,854,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,18,30,12,1,1451,1457,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,19,35,14,1,1458,1450,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,20,35,14,1,1364,1479,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,21,40,16,1,1329,1364,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,22,40,16,1,856,1619,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,23,40,16,1,2864,1364,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,24,45,18,1,1894,2864,1329,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Soldier,Command,25,50,20,1,1893,1891,"1458,1451",False,True,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,1,1,0,1,642,,,True,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,2,5,2,1,523,642,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,3,5,2,1,883,642,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,4,10,4,1,887,642,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,5,10,4,1,647,887,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,6,15,6,1,886,642,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,7,15,6,1,861,523,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,8,15,6,1,884,883,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,9,20,8,1,885,647,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,10,20,8,1,888,886,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,11,25,10,1,1259,885,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,12,25,10,1,890,888,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,13,25,10,1,1364,861,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,14,30,12,1,901,884,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,15,30,12,1,889,1259,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,16,35,14,1,1363,890,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,17,35,14,1,2864,1364,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,18,35,14,1,1366,1363,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,19,40,16,1,1362,889,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,20,40,16,1,2172,901,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,21,45,18,1,2173,1362,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,22,45,18,1,3358,2173,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Demolitions,23,50,20,1,1868,642,"3358,2172",False,True,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,1,1,0,1,646,,,True,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,2,5,2,1,649,646,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,3,5,2,1,641,646,,False,False,0,VERIFY RAW COST 0,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,4,10,4,1,651,641,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,5,10,4,1,1518,646,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,6,15,6,1,872,1518,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,7,15,6,1,874,649,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,8,20,8,1,873,651,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,9,20,8,1,880,874,,False,False,0,VERIFY RAW COST 0,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,10,20,8,1,863,873,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,11,25,10,1,860,646,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,12,25,10,1,1246,863,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,13,30,12,1,875,880,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,14,30,12,1,1250,872,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,15,30,12,1,1253,875,,False,False,0,VERIFY RAW COST 0,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,16,35,14,1,1254,1253,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,17,35,14,1,865,1250,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,18,40,16,1,1355,1246,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,19,40,16,1,1356,1355,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,20,45,18,1,1244,1254,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,21,45,18,1,866,865,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Stealth / Infiltration,22,50,20,1,1357,646,"866,1244",False,True,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,1,1,0,1,655,,,True,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,2,5,2,1,849,655,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,3,5,2,1,847,849,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,4,10,4,1,640,655,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,5,15,6,1,850,655,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,6,15,6,1,848,640,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,7,15,6,1,855,848,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,8,20,8,1,857,847,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,9,25,10,1,859,857,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,10,25,10,1,1332,850,,False,False,0,VERIFY RAW COST 0,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,11,25,10,1,871,859,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,12,30,12,1,1242,855,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,13,35,14,1,877,871,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,14,35,14,1,870,1242,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,15,35,14,1,1331,1332,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,16,40,16,1,1354,870,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,17,45,18,1,862,877,,False,False,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,18,45,18,1,1358,1354,,False,False,0,VERIFY RAW COST 0,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Commando,Precision / Marksmanship,19,50,20,1,1359,655,"1358,862",False,True,1,SUPPORTED AS TRAINABLE,RECONSTRUCTION STRONG branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Scientist,Medical,1,1,0,1,948,,,True,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Scientist,Medical,2,5,2,1,946,948,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Scientist,Medical,3,5,2,1,988,948,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Scientist,Medical,4,10,4,1,992,948,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Scientist,Medical,5,10,4,1,990,948,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Scientist,Medical,6,15,6,1,989,988,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Scientist,Medical,7,15,6,1,994,948,,False,False,0,VERIFY RAW COST 0,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Scientist,Medical,8,20,8,1,998,990,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Scientist,Medical,9,20,8,1,999,998,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Scientist,Medical,10,20,8,1,993,989,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Scientist,Medical,11,25,10,1,1220,992,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
Scientist,Medical,12,25,10,1,1228,1220,,False,False,1,SUPPORTED AS TRAINABLE,SOURCE-BACKED branch; level/order/prerequisites = PROJECT FINAL v1,FINAL_V1
