mesh	instances	tris_each	tris_total	footprint_m2	walkable_m2	bw_y_min	bw_y_max	sample_bw_x	sample_bw_y	sample_bw_z	archetype_paths
Env-DD:DD-Palm07	18	476	8568	2508.189	1143.267	-70.160	-50.080	-111.600	-60.360	48.440	Env-DD.DD-Palm07_Pf0.DD-Palm07_Pf0_Arc1.StaticMeshComponent0
Env-DD:DD-PalmBush01	18	204	3672	751.824	334.627	-69.520	-29.860	-112.840	-60.360	72.080	Env-DD.DD-PalmBush01_Pf0.DD-PalmBush01_Pf0_Arc1.StaticMeshComponent0
Em-Props:EM-ViewScreen02	17	142	2414	9.952	1.567	-40.202	-34.111	190.453	-34.111	65.159	Em-Props.EM-ViewScreen02_Pf0.EM-ViewScreen02_Pf0_Arc1.StaticMeshComponent0
GA-Building:GA-MerchantTent01	16	1047	16752	1202.840	879.090	-69.311	-30.960	126.164	-60.320	91.418	GA-Building.GA-MerchantTent01_Pf0.GA-MerchantTent01_Pf0_Arc2.StaticMeshComponent0
GA-Interior:GA-small_hallway_straight_a_512_00	16	100	1600	5926.445	2808.856	-70.440	-60.160	187.000	-70.440	23.280	GA-Interior.GA-small_hallway_straight_a_512_00_Pf0.GA-small_hallway_straight_a_512_00_Pf0_Arc1.StaticMeshComponent0
GA-Props:GA-Fence00	16	150	2400	64.223	22.283	-69.280	-61.640	2.400	-67.840	287.160	GA-Props.GA-Fence00_Pf0.GA-Fence00_Pf0_Arc1.StaticMeshComponent0
JF-Buildings:JF-Tent03	16	396	6336	755.507	406.952	-69.470	-41.120	109.480	-60.220	51.120	JF-Buildings.JF-Tent03_Pf0.JF-Tent03_Pf0_Arc1.StaticMeshComponent0
JF-Props:JF-Torch00	15	390	5850	5.456	2.607	-60.320	-41.080	-189.800	-41.120	41.930	JF-Props.JF-Torch00_Pf0.JF-Torch00_Pf0_Arc1.StaticMeshComponent0
GA-Interior:GA-small_doorway_open_a_00	14	1234	17276	6475.060	3024.165	-70.440	-30.720	131.320	-61.480	10.480	GA-Interior.GA-small_doorway_open_a_00_Pf0.GA-small_doorway_open_a_00_Pf0_Arc1.StaticMeshComponent0
Em-Props:EM-WallLight00	12	324	3888	97.734	37.521	-36.920	-35.181	198.708	-36.920	68.652	Em-Props.EM-WallLight00_Pf0.EM-WallLight00_Pf0_Arc2.StaticMeshComponent0;Em-Props.EM-WallLight00_Pf2.EM-WallLight00_Pf2_Arc2.StaticMeshComponent0
Env-DD:DD-PalmBush02	12	438	5256	731.777	602.442	-69.280	-30.150	51.536	-69.280	61.696	Env-DD.DD-PalmBush02_Pf0.DD-PalmBush02_Pf0_Arc1.StaticMeshComponent0
Env-DD:DD-Palm02	11	718	7898	2352.267	1777.637	-69.280	-30.990	25.270	-69.280	93.260	Env-DD.DD-Palm02_Pf0.DD-Palm02_Pf0_Arc1.StaticMeshComponent0
GA-Building:GA-MerchantTent02	11	343	3773	656.976	608.007	-69.361	-41.280	117.903	-60.370	93.660	GA-Building.GA-MerchantTent02_Pf0.GA-MerchantTent02_Pf0_Arc2.StaticMeshComponent0
JF-Props:JF-WallTorch01	11	202	2222	7.698	2.177	-39.600	-36.480	-153.340	-39.320	31.460	JF-Props.JF-WallTorch01_Pf0.JF-WallTorch01_Pf0_Arc1.StaticMeshComponent0
SGW_fluids:TOL-FluidPlaneCircle_Flat00	11	14	154	336.105	336.105	-41.010	-36.250	-176.615	-40.830	80.073	JF-Props.JF-Brazier01_Pf0.JF-Brazier01_Pf0_Arc0.StaticMeshComponent0;JF-Props.JF-Brazier01_Pf0.JF-Brazier01_Pf0_Arc1.StaticMeshComponent0;JF-Props.JF-Brazier01_Pf0.JF-Brazier01_Pf0_Arc2.StaticMeshComponent0;JF-Props.JF-BrazierCenter01_Pf0.JF-BrazierCenter01_Pf0_Arc1.StaticMeshComponent0
GA-Interior:GA-small_hallway_straight_a_1024_00	10	892	8920	7433.708	3474.651	-68.920	-30.720	140.920	-61.480	10.480	GA-Interior.GA-small_hallway_straight_a_1024_00_Pf0.GA-small_hallway_straight_a_1024_00_Pf0_Arc1.StaticMeshComponent0
Env-DD:DD-Palm03	9	610	5490	1728.696	1143.003	-70.400	-50.080	13.786	-69.440	78.716	Env-DD.DD-Palm03_Pf0.DD-Palm03_Pf0_Arc1.StaticMeshComponent0
Env-DD:DD-PalmBush00	9	259	2331	356.342	141.221	-69.380	-31.130	56.614	-69.280	63.133	Env-DD.DD-PalmBush00_Pf0.DD-PalmBush00_Pf0_Arc1.StaticMeshComponent0
EM-Cover:EM-Cover_Shield_Med_I00	8	740	5920	21.456	8.552	-60.321	-41.170	118.814	-60.200	48.399	EM-Cover.EM-Cover_Shield_Med_I00_Pf0.EM-Cover_Shield_Med_I00_Pf0_Arc2.StaticMeshComponent0
GA-Interior:GA-small_hallway_ramp_a_00	8	892	7136	14995.433	7388.191	-61.480	-42.580	158.840	-61.480	10.480	GA-Interior.GA-small_hallway_ramp_a_00_Pf0.GA-small_hallway_ramp_a_00_Pf0_Arc1.StaticMeshComponent0
GA-Props:GA-Fence03	8	158	1264	37.465	12.423	-69.280	-61.640	2.400	-67.840	290.600	GA-Props.GA-Fence03_Pf0.GA-Fence03_Pf0_Arc1.StaticMeshComponent0
EM_Earth_Military:EM-Tent_med00	7	1125	7875	1022.706	895.345	-41.222	-34.151	192.901	-34.400	8.413	EM_Earth_Military.EM-Tent_med00_Pf0.EM-Tent_med00_Pf0_Arc3.StaticMeshComponent0
Env-DD:DD-Palm04	7	698	4886	1427.352	888.930	-71.200	-53.920	-29.559	-69.520	87.178	Env-DD.DD-Palm04_Pf0.DD-Palm04_Pf0_Arc1.StaticMeshComponent0
Env-DD:DD-Palm05	7	476	3332	964.461	444.949	-69.760	-60.360	-114.160	-60.360	76.480	Env-DD.DD-Palm05_Pf0.DD-Palm05_Pf0_Arc1.StaticMeshComponent0
Em-Props:EM-SecurityCam01_Arm	6	66	396	1.004	0.499	-63.680	-55.319	212.539	-63.680	91.987	Em-Props.EM-SecurityCam00_Pf0.EM-SecurityCam00_Pf0_Arc1.StaticMeshComponent0
GA-Arch:GA-Aquaducts06	6	920	5520	4228.287	1266.841	-69.280	-69.280	53.090	-69.280	-109.790	GA-Arch.GA-Aquaducts06_Pf0.GA-Aquaducts06_Pf0_Arc1.StaticMeshComponent0
GA-Building:GA-GuardPost00	6	1056	6336	103.083	10.961	-69.090	-29.200	12.969	-69.070	3.516	GA-Building.GA-GuardPost00_Pf0.GA-GuardPost00_Pf0_Arc1.StaticMeshComponent0
GA-Interior:GA-small_hallway_elbow_a_00	6	1369	8214	8854.857	4171.007	-70.440	-60.160	187.000	-70.440	10.480	GA-Interior.GA-small_hallway_elbow_a_00_Pf0.GA-small_hallway_elbow_a_00_Pf0_Arc1.StaticMeshComponent0
Em-Props:EM-CanLight00	5	70	350	5.285	2.642	-33.190	-33.190	189.480	-33.190	-5.020	Em-Props.EM-CanLight00_Pf0.EM-CanLight00_Pf0_Arc1.StaticMeshComponent0
GA-Interior:GA-large_doorway_close_a_00	5	1748	8740	3966.248	1873.733	-69.160	-69.120	258.200	-69.160	99.880	GA-Interior.GA-large_doorway_close_a_00_Pf0.GA-large_doorway_close_a_00_Pf0_Arc1.StaticMeshComponent0
GA-Props:GA-Awning_Door00	5	388	1940	124.747	103.873	-67.840	-64.440	16.560	-64.440	-167.640	GA-Props.GA-Awning_Door00_Pf0.GA-Awning_Door00_Pf0_Arc2.StaticMeshComponent0
GA-Props:GA-Awning_Door01	5	488	2440	277.340	264.055	-60.360	-30.960	25.840	-50.040	161.320	GA-Props.GA-Awning_Door01_Pf0.GA-Awning_Door01_Pf0_Arc2.StaticMeshComponent0
GA-Props:GA-Bank00	5	656	3280	528.434	155.019	-67.840	-41.180	-187.920	-41.440	162.396	GA-Props.GA-Bank00_Pf0.GA-Bank00_Pf0_Arc1.StaticMeshComponent0
JF-Props:JF-BrazierCenter01	5	2136	10680	241.648	94.795	-41.020	-39.040	-135.123	-41.020	10.857	JF-Props.JF-BrazierCenter01_Pf0.JF-BrazierCenter01_Pf0_Arc0.StaticMeshComponent0
GA-Building:GA-Barracks01	4	1784	7136	1982.927	1642.581	-60.320	-30.960	-198.090	-41.280	84.350	GA-Building.GA-Barracks01_Pf0.GA-Barracks01_Pf0_Arc2.StaticMeshComponent0
GA-Building:GA-MerchantTent03	4	415	1660	208.671	178.357	-69.290	-30.960	-101.867	-30.960	220.151	GA-Building.GA-MerchantTent03_Pf0.GA-MerchantTent03_Pf0_Arc2.StaticMeshComponent0
GA-Interior:GA-large_doorway_open_a_00	4	1628	6512	3070.755	1447.133	-69.160	-69.160	232.600	-69.160	76.840	GA-Interior.GA-large_doorway_open_a_00_Pf0.GA-large_doorway_open_a_00_Pf0_Arc1.StaticMeshComponent0
GA-Props:GA-Fence02	4	370	1480	38.959	15.725	-69.280	-69.280	22.920	-69.280	-173.160	GA-Props.GA-Fence02_Pf0.GA-Fence02_Pf0_Arc2.StaticMeshComponent0
JF-Buildings:JF-Tent00	4	216	864	180.304	100.990	-41.290	-41.280	-190.374	-41.280	107.377	JF-Buildings.JF-Tent00_Pf0.JF-Tent00_Pf0_Arc3.StaticMeshComponent0
JF-Buildings:JF-Tent02	4	610	2440	656.788	334.347	-60.220	-41.120	111.480	-60.220	1.100	JF-Buildings.JF-Tent02_Pf0.JF-Tent02_Pf0_Arc1.StaticMeshComponent0
CA-Arch:CA-Courtyard_Str00	3	370	1110	1430.479	684.019	-41.440	-41.180	-184.510	-41.440	162.266	CA-Arch.CA-Courtyard_Str00_Pf0.CA-Courtyard_Str00_Pf0_Arc4.StaticMeshComponent0
EM_Earth_Military:EM-Tent_small00	3	836	2508	126.888	57.885	-60.260	-41.181	180.635	-41.181	56.277	EM_Earth_Military.EM-Tent_small00_Pf0.EM-Tent_small00_Pf0_Arc3.StaticMeshComponent0
Em-Props:EM-SandbagI_00	3	426	1278	44.369	12.587	-41.200	-41.200	157.247	-41.200	29.428	Em-Props.EM-SandbagI_00_Pf0.EM-SandbagI_00_Pf0_Arc8.StaticMeshComponent0;Em-Props.EM-SandbagI_00_Pf1.EM-SandbagI_00_Pf1_Arc3.StaticMeshComponent0
Em-Props:EM-StandingLight01	3	1974	5922	34.828	12.422	-41.280	-41.205	148.331	-41.280	154.278	Em-Props.EM-StandingLight01_Pf0.EM-StandingLight01_Pf0_Arc0.StaticMeshComponent0
Em-Props:EM-StandingLight05	3	672	2016	22.004	9.228	-41.200	-41.198	169.202	-41.200	158.882	Em-Props.EM-StandingLight05_Pf0.EM-StandingLight05_Pf0_Arc0.StaticMeshComponent0
GA-Building:GA-MerchantTent00	3	1615	4845	198.862	145.064	-69.280	-30.960	110.240	-30.960	231.240	GA-Building.GA-MerchantTent00_Pf0.GA-MerchantTent00_Pf0_Arc2.StaticMeshComponent0
GA-Interior:GA-small_doorway_close_a_00	3	1354	4062	1428.490	657.289	-68.920	-51.620	-273.260	-51.620	57.600	GA-Interior.GA-small_doorway_close_a_00_Pf0.GA-small_doorway_close_a_00_Pf0_Arc1.StaticMeshComponent0
GA-Interior:GA-small_hallway_3way_a_00	3	1069	3207	4690.311	2258.293	-70.440	-60.160	187.000	-70.440	36.080	GA-Interior.GA-small_hallway_3way_a_00_Pf0.GA-small_hallway_3way_a_00_Pf0_Arc1.StaticMeshComponent0
JF-Buildings:JF-MilitaryTent00	3	1302	3906	1375.470	649.888	-60.360	-41.367	-179.711	-41.367	133.189	JF-Buildings.JF-MilitaryTent00_Pf0.JF-MilitaryTent00_Pf0_Arc5.StaticMeshComponent0
JF-Buildings:JF-Tent01	3	230	690	245.569	94.004	-41.280	-41.120	-185.369	-41.120	114.921	JF-Buildings.JF-Tent01_Pf0.JF-Tent01_Pf0_Arc3.StaticMeshComponent0
EM-Cover:EM-Cover_Guardpost_Med01	2	680	1360	1071.698	503.367	-40.800	-40.800	131.697	-40.800	133.177	EM-Cover.EM-Cover_Guardpost_Med01_Pf0.EM-Cover_Guardpost_Med01_Pf0_Arc1.StaticMeshComponent0
EM_Earth_Military:EM-Portapot00	2	304	608	48.248	20.337	-41.234	-41.152	198.237	-41.234	-19.497	EM_Earth_Military.EM-Portapot00_Pf0.EM-Portapot00_Pf0_Arc1.StaticMeshComponent0
EM_Earth_Military:EM-PropaneTank00	2	300	600	10.312	3.033	-37.070	-37.070	195.240	-37.070	71.020	EM_Earth_Military.EM-PropaneTank00_Pf0.EM-PropaneTank00_Pf0_Arc0.StaticMeshComponent0
EM_Earth_Military:EM-Tent_large00	2	1260	2520	172.202	80.413	-60.220	-41.120	100.460	-60.220	65.560	EM_Earth_Military.EM-Tent_large00_Pf0.EM-Tent_large00_Pf0_Arc2.StaticMeshComponent0;EM_Earth_Military.EM-Tent_large00_Pf1.EM-Tent_large00_Pf1_Arc2.StaticMeshComponent0
EM_Earth_Military:EM-Tent_large01	2	1260	2520	172.202	159.995	-60.220	-60.220	118.536	-60.220	51.071	EM_Earth_Military.EM-Tent_large01_Pf0.EM-Tent_large01_Pf0_Arc2.StaticMeshComponent0
EM_Earth_Military:EM-WaterTower00	2	2562	5124	481.571	247.129	-23.360	-11.840	248.960	-23.360	46.080	EM_Earth_Military.EM-WaterTower00_Pf0.EM-WaterTower00_Pf0_Arc1.StaticMeshComponent0
Em-Props:EM-AC_unit00	2	12	24	1.864	0.932	-37.781	-37.481	185.814	-37.781	149.265	Em-Props.EM-AC_unit00_Pf0.EM-AC_unit00_Pf0_Arc1.StaticMeshComponent0
Em-Props:EM-WallLight01	2	180	360	14.794	6.001	-32.080	-32.080	200.840	-32.080	-6.480	Em-Props.EM-WallLight01_Pf0.EM-WallLight01_Pf0_Arc2.StaticMeshComponent0
GA-Arch:GA-Aquaducts00	2	1452	2904	2292.032	633.509	-69.497	-69.323	13.080	-69.497	-53.690	GA-Arch.GA-Aquaducts00_Pf0.GA-Aquaducts00_Pf0_Arc9.StaticMeshComponent0
GA-Arch:GA-Aquaducts02	2	1418	2836	2360.007	1180.002	-41.160	-30.980	221.830	-41.160	199.600	GA-Arch.GA-Aquaducts02_Pf0.GA-Aquaducts02_Pf0_Arc5.StaticMeshComponent0
GA-Arch:GA-Aquaducts08	2	330	660	467.420	159.340	-69.310	-69.310	13.080	-69.310	-109.810	GA-Arch.GA-Aquaducts08_Pf0.GA-Aquaducts08_Pf0_Arc1.StaticMeshComponent0
GA-Arch_Ruined:GA-Aquaducts05	2	438	876	612.051	303.087	-42.429	-41.160	-146.273	-42.429	187.657	GA-Arch_Ruined.GA-Aquaducts05_Pf0.GA-Aquaducts05_Pf0_Arc2.StaticMeshComponent0
GA-Building:GA-Top01	2	3088	6176	3249.879	1327.325	-37.650	-37.650	216.880	-37.650	53.520	GA-Building.GA-Top01_Pf0.GA-Top01_Pf0_Arc1.StaticMeshComponent0
HP-Props:HP-Brazier00	2	394	788	1.794	0.614	-28.250	-28.250	-159.782	-28.250	232.308	HP-Props.HP-Brazier00_Pf0.HP-Brazier00_Pf0_Arc2.StaticMeshComponent0;HP-Props.HP-Brazier00_Pf1.HP-Brazier00_Pf1_Arc1.StaticMeshComponent0
JF-Buildings:JF-LargeBuilding_FrontEnt00	2	844	1688	1645.320	892.385	-40.780	-40.780	-135.440	-40.780	61.620	JF-Buildings.JF-LargeBuilding_FrontEnt00_Pf0.JF-LargeBuilding_FrontEnt00_Pf0_Arc1.StaticMeshComponent0
JF-Props:JF-Brazier01	2	6702	13404	1355.832	663.667	-41.410	-41.400	-176.620	-41.400	80.100	JF-Props.JF-Brazier01_Pf0.JF-Brazier01_Pf0_Arc12.StaticMeshComponent0
CA-Arch:CA-Courtyard_Decor00	1	610	610	592.349	259.710	-22.110	-22.110	225.142	-22.110	264.231	CA-Arch.CA-Courtyard_Decor00_Pf0.CA-Courtyard_Decor00_Pf0_Arc4.StaticMeshComponent0
EM-Buildings:EM-Bunker00	1	2736	2736	2435.086	904.575	-41.200	-41.200	202.080	-41.200	-9.040	EM-Buildings.EM-Bunker00_Pf0.EM-Bunker00_Pf0_Arc0.StaticMeshComponent0
EM-Buildings:EM-Quartermaster01	1	2846	2846	1477.569	675.055	-41.221	-41.221	188.514	-41.221	156.705	EM-Buildings.EM-Quartermaster01_Pf0.EM-Quartermaster01_Pf0_Arc1.StaticMeshComponent0
EM-Cover:EM-Cover_Shield_High_V00	1	1260	1260	6.164	2.640	-60.320	-60.320	-82.808	-60.320	-29.009	EM-Cover.EM-Cover_Shield_High_V00_Pf0.EM-Cover_Shield_High_V00_Pf0_Arc3.StaticMeshComponent0
EM_Earth_Military:EM-Infirmary00-Generator	1	834	834	156.605	44.104	-41.120	-41.120	149.920	-41.120	105.600	EM_Earth_Military.EM-Infirmary00-Generator_Pf0.EM-Infirmary00-Generator_Pf0_Arc1.StaticMeshComponent0
GA-Arch_Ruined:GA-Aquaducts06	1	442	442	248.551	124.153	-30.960	-30.960	-119.770	-30.960	214.128	GA-Arch_Ruined.GA-Aquaducts06_Pf0.GA-Aquaducts06_Pf0_Arc1.StaticMeshComponent0
GA-Building:GA-Base_Simp00	1	7526	7526	10206.707	5123.743	-41.370	-41.370	221.000	-41.370	37.760	GA-Building.GA-Base_Simp00_Pf0.GA-Base_Simp00_Pf0_Arc0.StaticMeshComponent0
GA-Building:GA-Structure_Small00	1	2802	2802	563.182	239.525	-30.960	-30.960	79.620	-30.960	229.680	GA-Building.GA-Structure_Small00_Pf1.GA-Structure_Small00_Pf1_Arc0.StaticMeshComponent0
GA-Building:GA-TowMed00	1	3626	3626	6109.184	2751.040	-31.130	-31.130	-166.118	-31.130	234.797	GA-Building.GA-TowMed00_Pf0.GA-TowMed00_Pf0_Arc0.StaticMeshComponent0
GA-Building:GA-TowShort01	1	2291	2291	26587.401	10190.543	-30.720	-30.720	-0.000	-30.720	288.800	GA-Building.GA-TowShort01_Pf0.GA-TowShort01_Pf0_Arc4.StaticMeshComponent0
GA-Building:GA-TowTall01	1	3606	3606	7708.066	5795.683	-41.360	-41.360	-226.040	-41.360	37.720	GA-Building.GA-TowTall01_Pf0.GA-TowTall01_Pf0_Arc0.StaticMeshComponent0
GA-Props:GA-Viewscreens00	1	268	268	3.912	1.990	-28.880	-28.880	-88.340	-28.880	213.925	GA-Props.GA-Viewscreens00_Pf0.GA-Viewscreens00_Pf0_Arc0.StaticMeshComponent0
JF-Arch:JF-HighWallArch00	1	5276	5276	435.115	210.186	-41.280	-41.280	-156.480	-41.280	35.660	JF-Arch.JF-HighWallArch00_Pf0.JF-HighWallArch00_Pf0_Arc1.StaticMeshComponent0
JF-Buildings:JF-Tent01_Awaning_01	1	134	134	49.411	24.783	-41.290	-41.290	-139.651	-41.290	-40.308	JF-Buildings.JF-Tent01_Awaning_01_Pf0.JF-TentAwning01_Pf0_Arc1.StaticMeshComponent0
