chunk	actor	mesh	bw_x	bw_y	bw_z	archetype_path
Harset_CmdCenter-00000001	StaticMeshActor	GA-Props:GA-Wires00	104.241	-0.792	65.993	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000001	StaticMeshActor	GA-Props:GA-Wires00	103.383	-0.183	67.840	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000001	StaticMeshActor	GA-Props:GA-Viewscreens00	100.960	2.825	44.115	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-00000001	StaticMeshActor	GA-Props:GA-Wires00	100.103	-0.183	67.840	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	SGW_fluids:TOL-FluidPlaneCircle_Flat00	-43.210	3.110	50.130	JF-Props.JF-BrazierCenter01_Pf0.JF-BrazierCenter01_Pf0_Arc1.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	Em-Props:EM-SecurityCam01_Arm	-64.090	5.160	21.830	Em-Props.EM-SecurityCam00_Pf0.EM-SecurityCam00_Pf0_Arc1.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	GA-Props:GA-Fence01	-45.280	-0.640	4.000	GA-Props.GA-Fence01_Pf0.GA-Fence01_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	GA-Props:GA-Fence01	-38.320	-0.640	4.000	GA-Props.GA-Fence01_Pf0.GA-Fence01_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	Em-Props:EM-WallLight00	-86.940	5.470	14.500	Em-Props.EM-WallLight00_Pf0.EM-WallLight00_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	Em-Props:EM-WallLight00	-79.030	5.470	14.500	Em-Props.EM-WallLight00_Pf0.EM-WallLight00_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	Em-Props:EM-WallLight00	-88.070	5.470	33.090	Em-Props.EM-WallLight00_Pf0.EM-WallLight00_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	Em-Props:EM-WallLight00	-68.710	5.470	33.090	Em-Props.EM-WallLight00_Pf0.EM-WallLight00_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	GA-Props:GA-WaterTower00	-30.147	1.920	72.944	GA-Props.GA-WaterTower00_Pf0.GA-WaterTower00_Pf0_Arc1.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	Em-Props:EM-WallLight00	-92.080	5.470	24.970	Em-Props.EM-WallLight00_Pf0.EM-WallLight00_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	Em-Props:EM-WallLight01	-87.060	5.470	24.640	Em-Props.EM-WallLight01_Pf0.EM-WallLight01_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	Em-Props:EM-WallLight01	-71.590	5.470	24.640	Em-Props.EM-WallLight01_Pf0.EM-WallLight01_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	Em-Props:EM-WallLight01	-79.690	5.470	24.640	Em-Props.EM-WallLight01_Pf1.EM-WallLight01_Pf1_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-BrazierCenter01	-58.890	0.320	50.110	JF-Props.JF-BrazierCenter01_Pf0.JF-BrazierCenter01_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	SGW_fluids:TOL-FluidPlaneCircle_Flat00	-58.910	3.110	50.130	JF-Props.JF-BrazierCenter01_Pf0.JF-BrazierCenter01_Pf0_Arc1.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	EM-Cover:EM-Cover_Shield_Med_I00	-72.332	0.320	28.387	EM-Cover.EM-Cover_Shield_Med_I00_Pf0.EM-Cover_Shield_Med_I00_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	EM-Cover:EM-Cover_Shield_Med_I00	-72.134	0.320	18.849	EM-Cover.EM-Cover_Shield_Med_I00_Pf0.EM-Cover_Shield_Med_I00_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-WallTorch00	-38.680	4.540	52.100	JF-Props.JF-WallTorch00_Pf0.JF-WallTorch00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-WallTorch00	-38.680	4.540	55.520	JF-Props.JF-WallTorch00_Pf0.JF-WallTorch00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-WallTorch00	-38.680	4.540	68.160	JF-Props.JF-WallTorch00_Pf0.JF-WallTorch00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-WallTorch00	-38.680	4.540	38.940	JF-Props.JF-WallTorch00_Pf0.JF-WallTorch00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-WallTorch00	-62.960	4.540	68.160	JF-Props.JF-WallTorch00_Pf0.JF-WallTorch00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-WallTorch00	-62.960	4.540	55.520	JF-Props.JF-WallTorch00_Pf0.JF-WallTorch00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-WallTorch00	-62.960	4.540	38.940	JF-Props.JF-WallTorch00_Pf0.JF-WallTorch00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-WallTorch00	-62.960	4.540	52.100	JF-Props.JF-WallTorch00_Pf0.JF-WallTorch00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-WallTorch00	-45.198	3.900	68.580	JF-Props.JF-WallTorch00_Pf0.JF-WallTorch00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-WallTorch00	-56.858	3.900	68.580	JF-Props.JF-WallTorch00_Pf0.JF-WallTorch00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-Brazier_OIL00	-45.660	2.460	53.900	JF-Props.JF-Brazier_OIL00_Pf0.JF-Brazier_OIL00_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-Brazier_OIL00	-46.060	2.460	60.980	JF-Props.JF-Brazier_OIL00_Pf0.JF-Brazier_OIL00_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-Brazier_OIL00	-56.320	2.460	60.820	JF-Props.JF-Brazier_OIL00_Pf0.JF-Brazier_OIL00_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-Brazier_OIL00	-56.560	2.460	53.860	JF-Props.JF-Brazier_OIL00_Pf0.JF-Brazier_OIL00_Pf0_Arc2.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	Em-Props:EM-StandingLight01	-65.280	0.320	16.230	Em-Props.EM-StandingLight01_Pf0.EM-StandingLight01_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-0000ffff	StaticMeshActor	JF-Props:JF-BrazierCenter01	-43.190	0.320	50.110	JF-Props.JF-BrazierCenter01_Pf0.JF-BrazierCenter01_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-PuzzleStation00	37.430	0.320	-27.880	GA-Props.GA-PuzzleStation00_Pf0.GA-PuzzleStation00_Pf0_Arc1.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	CA-Props:CA-Relief00	68.960	2.560	-7.360	CA-Props.CA-Relief00_Pf0.CA-Relief00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-PuzzleStation00	35.680	0.320	-27.880	GA-Props.GA-PuzzleStation00_Pf0.GA-PuzzleStation00_Pf0_Arc1.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-PuzzleStation00	33.950	0.320	-27.880	GA-Props.GA-PuzzleStation00_Pf0.GA-PuzzleStation00_Pf0_Arc1.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-PuzzleStation00	32.120	0.320	-27.880	GA-Props.GA-PuzzleStation00_Pf0.GA-PuzzleStation00_Pf0_Arc1.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-WaterTower00	48.480	0.330	-25.360	GA-Props.GA-WaterTower00_Pf0.GA-WaterTower00_Pf0_Arc1.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-WaterTower00	63.360	0.330	-14.600	GA-Props.GA-WaterTower00_Pf0.GA-WaterTower00_Pf0_Arc1.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-WaterTower00	63.360	0.330	-0.400	GA-Props.GA-WaterTower00_Pf0.GA-WaterTower00_Pf0_Arc1.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	50.920	0.910	-27.440	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	50.920	0.910	-22.880	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	52.160	1.230	-22.880	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	52.160	1.230	-27.440	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	44.800	1.230	-27.560	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	46.040	0.910	-27.560	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	46.040	0.910	-23.000	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	44.820	1.230	-23.000	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	65.440	0.910	-12.160	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	60.880	0.910	-12.160	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	60.880	1.230	-10.920	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	65.440	1.230	-10.920	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	65.560	1.230	-18.280	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	65.560	0.910	-17.040	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	61.000	0.910	-17.040	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	61.000	1.230	-18.280	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	65.560	1.230	-4.080	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	65.560	0.910	-2.840	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	61.000	0.910	-2.840	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	61.000	1.230	-4.080	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	42.880	11.814	-5.815	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	50.560	11.814	-5.495	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	46.720	11.814	-9.655	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	49.060	1.130	-0.120	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	44.780	1.130	-0.120	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	52.370	1.110	-8.080	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	52.370	1.110	-3.800	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	44.300	1.130	-11.510	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	48.580	1.130	-11.510	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	41.060	1.110	-8.120	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Viewscreens00	41.060	1.110	-3.840	GA-Props.GA-Viewscreens00_Pf1.GA-Viewscreens00_Pf1_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Wires00	48.574	9.613	-23.012	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Wires00	48.635	9.640	-27.641	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Wires00	44.560	2.000	-8.560	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Wires00	48.311	2.000	-8.483	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Wires00	48.240	2.000	-3.120	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Wires00	44.800	2.000	-3.120	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Wires00	65.685	9.743	-14.617	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Wires00	61.225	9.770	-14.541	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Wires00	65.685	9.743	-0.317	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	GA-Props:GA-Wires00	61.225	9.770	-0.241	GA-Props.GA-Wires00_Pf0.GA-Wires00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffff0000	StaticMeshActor	CA-Props:CA-Relief00	28.160	2.080	-23.200	CA-Props.CA-Relief00_Pf0.CA-Relief00_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffffffff	StaticMeshActor	GA-Props:GA-Monitor01	-26.870	1.630	-3.700	GA-Props.GA-Monitor01_Pf0.GA-Monitor01_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffffffff	StaticMeshActor	GA-Props:GA-Monitor01	-57.260	1.320	-14.890	GA-Props.GA-Monitor01_Pf0.GA-Monitor01_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffffffff	StaticMeshActor	GA-Props:GA-Monitor01	-57.410	1.630	-14.880	GA-Props.GA-Monitor01_Pf0.GA-Monitor01_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffffffff	StaticMeshActor	GA-Props:GA-Monitor01	-57.410	1.630	-3.700	GA-Props.GA-Monitor01_Pf0.GA-Monitor01_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffffffff	StaticMeshActor	GA-Props:GA-Monitor01	-57.260	1.320	-3.710	GA-Props.GA-Monitor01_Pf0.GA-Monitor01_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffffffff	StaticMeshActor	GA-Props:GA-Monitor01	-27.020	1.320	-14.890	GA-Props.GA-Monitor01_Pf0.GA-Monitor01_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffffffff	StaticMeshActor	GA-Props:GA-Monitor01	-26.870	1.630	-14.880	GA-Props.GA-Monitor01_Pf0.GA-Monitor01_Pf0_Arc0.StaticMeshComponent0
Harset_CmdCenter-ffffffff	StaticMeshActor	GA-Props:GA-Monitor01	-27.020	1.320	-3.710	GA-Props.GA-Monitor01_Pf0.GA-Monitor01_Pf0_Arc0.StaticMeshComponent0
